[],123456,한달에 꾸미는데 돈 얼마씩 써,옷 화장품 머리 싹 다 합쳐서 옷 하나 살 때마다 너무 죄책감이 들어 낭비하는 것 같고 쓸데없는 돈 쓰는 거 같아,2019-06-05,5
[],123456,굿즈,지금 줄 서잇음,2019-06-05,5
[],123456,축제 공연 입장하면,중간에 나갔다 들어가는거 안돼요,2019-06-05,5
[],123456,중대라이덴 랭킹,개떡락했냐  ,2019-06-05,5
[],123456,쨍한분홍색 옷에,바지 뭐가어울릴까청바지 검은바지,2019-06-05,5
[],123456,롤 중앙대 소지섭님 계신가요,앰비션방송보는데 나오시네요잘하시던데 저랑 같이 듀오해요참고로 제 티어는 브론즈입니당,2019-06-05,5
[],123456,기초통계 수강신청좀 해줘,통계 외않해,2019-06-05,5
[],123456,불법 알바,만약 나는 불법인지 모르고 했는데 불법이였다고 하자 근데 고용주가 너 죽고 나 죽자 심정으로 나 고소하면 나도 형사처벌 받음,2019-06-05,5
[],123456,축제 팔찌 열한시 이후에 받으러가도 남아있을까,,2019-06-05,5
[],123456,2019 라이덴 대학 랭킹,중앙대 종합순위  910위 인문사회 583위 자연과학 공학 816위 수학 컴퓨터공학 712위 생명과학 지구과학 701위 생물의학 보건학 912위2017년 중앙대 종합순위 830위2018년 중앙대 종합순위 863위 네 갈수록 떡락중이네요,2019-06-05,5
[],123456,롤아뒤,골드 2시간만 빌려줄 칭구있나여맛있는거 보내드릴게용,2019-06-05,5
[],123456,계절학기 경영 과목 두개 중 골라주세요,강성민 경정시 123vs조태현 관리회계 789회계원론만 들었어요무난하게 B 이상만 맞고 싶은데 계절로 뭐가 나을까요,2019-06-05,5
[],123456,폴로티,단추 2개 다 잠금 or 하나 잠금 or 둘다 품 뭐가 나아유,2019-06-05,5
[],123456,오늘 중도에서 밤새야하는데,국밥집 추천좀여,2019-06-05,5
[],123456,계절 몇명이상이여야 폐강아닌가요,,2019-06-05,5
[],123456,아 예비군 진짜 같다 하,가지말까걍,2019-06-05,5
[],123456,리스 지금 왜이렇게 느려,나만 그런가,2019-06-05,5
[],123456,줄루루룰루,내일 나랑 같이 줄 기다릴 사람,2019-06-05,5
[],123456,서울경기 독일어 쌩기초 C1 시험 대비까지 개인과외 학생 모집합니다,안녕하세요서울경기 강남 분당 수원 우대 지역에서 6월부터 독일어 과외를 진행하려고 합니다 1분만 모집합니다저는 독일에서 1년 정도 거주 중이고 곧 공과대학에 입학하는 유학생입니다 전 독일어 아베체데부터 시작해서 9개월만에 telc C1 Hochschule 말하기 만점필기 전영역 고득점으로 합격했으며 물론 수업 시작 전에 성적표 보여드리고 시작합니다현재도 독일에서 여러명의 학생분과 함께 자격증 대비 개인과외를 진행 중입니다 몇달동안 한국에 가게 되어 한국에서 독일어 공부를 열심히 함께 하실 학생분들을 모집합니다독일어 자격증 대비  회화  발음교정  작문  워홀 준비  외고 학생분들 모두 환영이에요 D학생 분들은 수업 시간 외에 독일 생활  입시에 필요한 정보도 나누어 드리고 입시 상담도 도와드릴 수 있어요 독일어 과외 뿐 아니라 영어 과탐 등 다른 과목 과외 경험도 다수 있어서 교수법에는 자신 있습니다단기간에 고득점으로 합격할 수 있었던 제 공부 방법을 직접 정리한 필기노트와 효율적인 접근법으로 알려드리며 단기간에 완성도 있게 잡아드릴게요과외 방식  교재  커리큘럼  페이  장소 등 자세한 사항은 카카오톡 아이디 jayoon7865로 자유롭게 질문 주시면 됩니다 ,2019-06-05,5
[],123456,성폭력 예방교육,같네요,2019-06-05,5
[],123456,한국정치론 최영진교수님,정국과 복전생인데요 한국정치론 최영진교수님 계절학기 들어보신분계신가요어떠셨나요,2019-06-05,5
[],123456,저랑 금욜날 새벽부터 존버탈 쌈자바라기 있나요,제 친한 애들 레벨만 노리는거 같아서 쌈자바라기 저 혼잔데 기왕 축제인거 같이 존버타면서 캔맥까고 얘기하고 저 친화력 되게 좋은데 의향 있으시면 쪽지좀 아 전 19 남자에요,2019-06-05,5
[],123456,일홉가면 어떤 분위기에요,웨이팅하고  들어가서 민증검사하고 자리 앉고 술마시다보면 자연스레 합석 붙여주는 시스템이에요,2019-06-05,5
[],123456,지금 핀버트 줄서신분,,2019-06-05,5
[],123456,직장에서 세미정장,여자 세미정장이라고 하면 범위가 어디부터 어디까지일까일반 하늘하늘 원피스 그런것도 가능니트류 밑에 긴치마 뭐 이런거 가능,2019-06-05,5
[],123456,레드벨벳보러 아침에 서울가요,안성러입니다 히 기대되서 잠도 안와,2019-06-05,5
[],123456,진짜 이상한 질문인데,학교에 드럼 칠 수 있는 곳 있나요고등학교처럼 음악실 같은 곳 있나요,2019-06-05,5
[],123456,실제로 중앙대다닌다면 반응어때요,저는 지방사람이었는데 저흰 플렌카드걸고 가문의 영광소리도 들었네요,2019-06-05,5
[],123456,정문에 대만샌드위치 먹어본사람,맛 ,2019-06-05,5
